Comment,Cleaned_Comment
"Salute and Respect for not including any promotional ad in the video. Such dedication, hard work and honesty will take you to new heights.",salute and respect for not including any promotional ad in the video such dedication hard work and honesty will take you to new heights
Reply,reply
1 reply,reply
,nan
Details are appreciated ....full data covered in single video,details are appreciated full data covered in single video
Reply,reply
"nitish bhaiya jab se 
aapki pehli video dekhi h
 jb se aapki ek bhi video
 miss nhi ki or purani bh
i saari dekh li abto debate
 bhi krne lga hu m topics pr
 big thanks to you","nitish bhaiya jab se 
aapki pehli video dekhi h
 jb se aapki ek bhi video
 miss nhi ki or purani bh
i saari dekh li abto debate
 bhi krne lga hu m topics pr
 big thanks to you"
Reply,reply
You are gem and true journalist. It's not only a West Bengal vandalism but also national issue. So all true Indian protest against such crime until it's ended.,you are gem and true journalist its not only a west bengal vandalism but also national issue so all true indian protest against such crime until its ended
Reply,reply
"You deserve to be an indipendent Member of Parliament.
We need a leader like you","you deserve to be an indipendent member of parliament
we need a leader like you"
Reply,reply
Very well explained . Government should take immediate action & brought justice,very well explained  government should take immediate action  brought justice
Reply,reply
"बिना किसी पक्षपात के सारे बिखरी हुई घटना को समेट करके दिखाना, 
काबिले तारीफ है
Hats of you sirr🇮🇳🇮🇳",hats of you sirr
Reply,reply
I am really shameful for this horrific act. Strongly condemn it. Terrific work by Nitish. Your unbiased thoughts and details are really inspiring and better than Dhruv,i am really shameful for this horrific act strongly condemn it terrific work by nitish your unbiased thoughts and details are really inspiring and better than dhruv
Reply,reply
3 replies,replies
,nan
"You're absolutely right. It's frustrating how the system often overlooks the struggles of the common man. We're expected to work, pay taxes, and vote, but when we need justice or help, the process becomes unnecessarily difficult. An online association to empower and support ordinary people could be a game-changer, giving us a unified voice to demand accountability and fair treatment. It's time we stand together for our rights!",youre absolutely right its frustrating how the system often overlooks the struggles of the common man were expected to work pay taxes and vote but when we need justice or help the process becomes unnecessarily difficult an online association to empower and support ordinary people could be a gamechanger giving us a unified voice to demand accountability and fair treatment its time we stand together for our rights
Reply,reply
I saw it because of John Abraham!!  What a thorough investigation Nitiesh. Hats off.,i saw it because of john abraham  what a thorough investigation nitiesh hats off
Reply,reply
"I just bow down to you.
Your way of explaining things is to the next level.
I'm from Kolkata 
And the RG Kar college is just near our house.","i just bow down to you
your way of explaining things is to the next level
im from kolkata 
and the rg kar college is just near our house"
Reply,reply
4 replies,replies
,nan
"The fact to appreciate that you didn't add any advertisement in this video according to it seriousness and vulnerability.
Appreciated","the fact to appreciate that you didnt add any advertisement in this video according to it seriousness and vulnerability
appreciated"
Reply,reply
As a father of 4 years daughter I am angry and scared at the same time.,as a father of  years daughter i am angry and scared at the same time
Reply,reply
5 replies,replies
,nan
